"","caseid","region","gender","educ","edloan","race","hispanic","employ","marstat","pid7","ideo5","pew_religimp","newsint","faminc_new","union","investor","CC18_308a","CC18_310a","CC18_310b","CC18_310c","CC18_310d","CC18_325a","CC18_325b","CC18_325c","CC18_325d"
"381",412038393,3,2,4,2,1,2,1,1,6,4,1,1,10,3,1,2,2,3,3,3,1,1,1,2
"382",417328857,2,2,6,1,1,2,8,1,1,2,2,2,7,3,2,4,2,5,3,3,2,1,1,1
"383",415877708,2,1,2,2,1,2,5,1,4,4,4,3,4,3,1,4,2,3,3,3,2,1,1,1
"384",416895771,4,2,3,2,1,2,5,4,7,4,1,1,9,3,1,1,3,3,3,3,1,2,1,1
"385",412933861,1,2,2,2,1,2,6,4,5,3,2,3,2,3,2,1,3,5,3,5,1,1,1,1
"386",414175310,3,2,2,2,1,2,6,5,7,5,1,1,5,3,1,1,2,2,2,2,1,1,1,1
"387",417618078,2,1,3,2,1,2,2,1,7,5,1,1,9,1,1,1,2,3,3,2,1,1,1,1
"388",414311569,3,1,3,2,2,2,1,5,2,2,3,2,4,3,2,4,2,1,2,3,1,1,1,2
"389",414203529,2,2,2,2,1,2,5,1,7,2,1,2,4,3,1,1,2,3,2,2,1,1,1,1
"390",413276863,2,2,5,2,1,2,2,1,1,3,4,1,13,2,1,4,2,3,5,2,2,1,1,1
"391",412656741,4,2,4,2,1,2,7,1,7,5,1,2,11,3,2,1,3,3,3,3,1,2,1,2
"392",416051768,4,1,2,2,1,2,5,1,4,3,2,2,5,3,2,2,2,2,2,2,2,1,1,2
"393",411666091,4,2,3,2,1,2,1,1,7,4,3,1,7,3,1,1,3,3,3,2,1,2,1,1
"394",412286683,1,1,6,1,5,2,1,1,6,4,1,2,11,2,1,1,3,3,2,3,1,1,1,1
"395",412528495,1,2,5,1,6,2,1,1,2,1,2,1,10,3,1,4,3,3,2,2,2,1,2,2
"396",410656606,3,2,5,2,1,2,1,1,7,5,1,2,8,3,1,1,3,5,5,2,2,1,1,1
"397",414196311,3,2,4,2,3,2,1,1,2,2,1,2,5,3,1,4,3,3,2,2,1,2,1,1
"398",417619944,1,1,3,2,1,2,5,4,7,5,1,1,3,2,1,1,3,3,2,2,2,1,1,1
"399",412880171,4,2,5,2,1,2,1,1,1,1,1,1,11,2,2,4,2,2,2,2,2,2,2,2
"400",416763015,2,2,5,2,1,2,1,1,7,4,1,2,9,3,1,1,2,2,2,2,2,2,2,2
"401",420191229,2,1,3,2,1,2,4,2,4,3,2,1,4,2,2,2,2,5,3,2,1,2,2,1
"402",412334398,3,2,6,2,1,2,5,5,1,1,4,1,4,3,1,4,2,3,2,3,2,1,2,1
"403",414259021,2,1,3,2,2,2,1,6,2,3,2,2,7,2,1,2,2,3,3,3,2,2,1,1
"404",415267229,3,2,3,1,1,2,2,5,7,5,1,4,6,3,2,2,2,2,2,2,1,1,1,2
"405",412044645,4,2,4,2,1,2,6,6,3,1,4,1,8,3,2,4,3,3,3,2,2,1,1,1
"406",412900800,4,2,5,1,1,2,7,3,2,2,4,2,2,3,2,4,3,3,3,2,2,2,2,1
"407",413081505,4,2,3,2,1,2,6,5,1,2,2,2,4,3,2,4,3,3,3,3,2,2,2,1
"408",414169770,4,2,5,2,1,2,1,1,2,1,4,3,11,3,1,1,5,3,2,5,2,1,1,1
"409",413982519,2,1,2,2,1,2,1,1,5,4,2,2,7,3,2,2,5,2,5,5,2,1,1,1
"410",417077403,3,2,5,2,1,1,1,1,1,1,4,1,10,3,2,4,3,3,3,3,2,1,2,2
"411",414877585,4,2,3,2,2,1,5,5,1,3,1,1,11,2,2,4,3,3,3,3,2,1,2,2
"412",412375254,2,1,2,1,1,2,5,1,7,4,1,1,9,3,1,1,2,2,3,2,1,1,1,1
"413",412340928,2,2,5,1,1,2,1,1,5,4,2,1,7,3,1,1,2,3,3,2,1,1,1,1
"414",412452422,4,2,3,2,1,2,4,4,1,2,2,1,1,3,2,4,3,3,3,2,2,1,2,1
